# lambda albedo      g      Cext         K
  1230.0 0.2585 0.6487 5.218e-22 7.085e+04
  1237.0 0.2603 0.6488 5.171e-22 7.004e+04
  1245.0 0.2621 0.6489 5.125e-22 6.924e+04
  1252.0 0.2640 0.6489 5.080e-22 6.845e+04
  1259.0 0.2659 0.6489 5.035e-22 6.768e+04
  1266.0 0.2678 0.6489 4.991e-22 6.691e+04
  1274.0 0.2697 0.6489 4.948e-22 6.616e+04
  1281.0 0.2716 0.6489 4.906e-22 6.543e+04
  1288.0 0.2735 0.6488 4.864e-22 6.470e+04
  1296.0 0.2754 0.6487 4.824e-22 6.399e+04
  1303.0 0.2782 0.6485 4.769e-22 6.303e+04
  1311.0 0.2800 0.6483 4.733e-22 6.239e+04
  1318.0 0.2818 0.6481 4.697e-22 6.177e+04
  1326.0 0.2836 0.6479 4.663e-22 6.116e+04
  1334.0 0.2854 0.6476 4.629e-22 6.056e+04
  1341.0 0.2873 0.6473 4.596e-22 5.998e+04
  1349.0 0.2891 0.6469 4.564e-22 5.941e+04
  1357.0 0.2910 0.6465 4.533e-22 5.885e+04
  1365.0 0.2928 0.6460 4.502e-22 5.830e+04
  1372.0 0.2947 0.6455 4.473e-22 5.776e+04
  1380.0 0.2966 0.6449 4.444e-22 5.723e+04
  1388.0 0.2985 0.6443 4.415e-22 5.671e+04
  1396.0 0.3005 0.6435 4.388e-22 5.620e+04
  1404.0 0.3026 0.6427 4.361e-22 5.569e+04
  1413.0 0.3048 0.6418 4.335e-22 5.518e+04
  1421.0 0.3072 0.6408 4.308e-22 5.465e+04
  1429.0 0.3098 0.6397 4.281e-22 5.410e+04
  1437.0 0.3127 0.6386 4.252e-22 5.351e+04
  1445.0 0.3159 0.6375 4.222e-22 5.288e+04
  1454.0 0.3193 0.6366 4.191e-22 5.223e+04
  1462.0 0.3227 0.6358 4.158e-22 5.157e+04
  1471.0 0.3262 0.6352 4.126e-22 5.089e+04
  1479.0 0.3298 0.6346 4.093e-22 5.023e+04
