# lambda albedo      g      Cext         K
  1084.0 0.3086 0.5829 4.314e-22 8.508e+04
  1090.0 0.3097 0.5835 4.281e-22 8.429e+04
  1096.0 0.3107 0.5841 4.248e-22 8.352e+04
  1103.0 0.3118 0.5847 4.216e-22 8.276e+04
  1109.0 0.3128 0.5853 4.185e-22 8.203e+04
  1116.0 0.3138 0.5859 4.154e-22 8.131e+04
  1122.0 0.3148 0.5864 4.125e-22 8.061e+04
  1128.0 0.3159 0.5870 4.095e-22 7.991e+04
  1135.0 0.3169 0.5875 4.066e-22 7.923e+04
  1142.0 0.3179 0.5881 4.038e-22 7.856e+04
  1148.0 0.3190 0.5886 4.010e-22 7.790e+04
  1155.0 0.3200 0.5889 3.983e-22 7.725e+04
  1161.0 0.3211 0.5893 3.956e-22 7.660e+04
  1168.0 0.3223 0.5896 3.930e-22 7.597e+04
  1175.0 0.3234 0.5898 3.904e-22 7.534e+04
  1182.0 0.3245 0.5901 3.878e-22 7.472e+04
  1189.0 0.3257 0.5903 3.852e-22 7.410e+04
  1195.0 0.3269 0.5905 3.827e-22 7.349e+04
  1202.0 0.3280 0.5906 3.803e-22 7.288e+04
  1209.0 0.3293 0.5908 3.778e-22 7.228e+04
  1216.0 0.3305 0.5909 3.754e-22 7.169e+04
  1223.0 0.3317 0.5910 3.730e-22 7.110e+04
  1230.0 0.3329 0.5911 3.707e-22 7.053e+04
  1237.0 0.3342 0.5911 3.683e-22 6.995e+04
  1245.0 0.3355 0.5911 3.660e-22 6.938e+04
  1252.0 0.3367 0.5911 3.638e-22 6.882e+04
  1259.0 0.3380 0.5911 3.615e-22 6.826e+04
  1266.0 0.3394 0.5911 3.593e-22 6.770e+04
  1274.0 0.3407 0.5910 3.571e-22 6.715e+04
  1281.0 0.3420 0.5909 3.549e-22 6.660e+04
  1288.0 0.3434 0.5908 3.527e-22 6.606e+04
  1296.0 0.3448 0.5906 3.506e-22 6.552e+04
  1303.0 0.3462 0.5904 3.484e-22 6.498e+04
  1311.0 0.3477 0.5902 3.464e-22 6.445e+04
  1318.0 0.3491 0.5900 3.443e-22 6.392e+04
  1326.0 0.3506 0.5897 3.423e-22 6.340e+04
  1334.0 0.3520 0.5894 3.402e-22 6.288e+04
  1341.0 0.3536 0.5890 3.383e-22 6.237e+04
  1349.0 0.3551 0.5886 3.363e-22 6.186e+04
  1357.0 0.3568 0.5882 3.343e-22 6.134e+04
  1365.0 0.3584 0.5877 3.324e-22 6.083e+04
  1372.0 0.3601 0.5871 3.305e-22 6.032e+04
  1380.0 0.3619 0.5865 3.286e-22 5.981e+04
  1388.0 0.3638 0.5858 3.268e-22 5.930e+04
  1396.0 0.3657 0.5850 3.250e-22 5.879e+04
  1404.0 0.3678 0.5842 3.231e-22 5.827e+04
  1413.0 0.3701 0.5832 3.213e-22 5.774e+04
  1421.0 0.3727 0.5821 3.195e-22 5.717e+04
  1429.0 0.3757 0.5810 3.175e-22 5.655e+04
  1437.0 0.3792 0.5800 3.154e-22 5.586e+04
  1445.0 0.3831 0.5789 3.131e-22 5.510e+04
  1454.0 0.3873 0.5781 3.107e-22 5.429e+04
  1462.0 0.3918 0.5774 3.080e-22 5.344e+04
  1471.0 0.3965 0.5769 3.053e-22 5.256e+04
  1479.0 0.4012 0.5764 3.025e-22 5.167e+04
  1488.0 0.4061 0.5760 2.997e-22 5.077e+04
  1496.0 0.4115 0.5758 2.967e-22 4.981e+04
  1505.0 0.4170 0.5756 2.937e-22 4.883e+04
  1514.0 0.4227 0.5753 2.907e-22 4.786e+04
  1522.0 0.4285 0.5751 2.877e-22 4.690e+04
  1531.0 0.4345 0.5749 2.847e-22 4.593e+04
  1540.0 0.4406 0.5746 2.818e-22 4.496e+04
  1549.0 0.4470 0.5744 2.788e-22 4.398e+04
