# lambda albedo      g      Cext         K
   501.2 0.2646 0.8242 4.746e-22 6.155e+04
   504.1 0.2642 0.8224 4.770e-22 6.190e+04
   507.0 0.2638 0.8207 4.795e-22 6.226e+04
   509.9 0.2635 0.8188 4.821e-22 6.262e+04
   512.9 0.2631 0.8169 4.847e-22 6.299e+04
   515.8 0.2628 0.8150 4.874e-22 6.337e+04
   518.8 0.2625 0.8130 4.901e-22 6.375e+04
   521.8 0.2622 0.8110 4.929e-22 6.414e+04
   524.8 0.2619 0.8088 4.958e-22 6.454e+04
   527.8 0.2617 0.8066 4.988e-22 6.495e+04
   530.9 0.2614 0.8044 5.020e-22 6.539e+04
   533.9 0.2612 0.8020 5.053e-22 6.583e+04
   537.0 0.2610 0.7996 5.087e-22 6.629e+04
   540.1 0.2606 0.7973 5.121e-22 6.677e+04
   543.3 0.2600 0.7952 5.155e-22 6.728e+04
   546.4 0.2596 0.7928 5.192e-22 6.781e+04
   549.5 0.2592 0.7902 5.232e-22 6.836e+04
   552.7 0.2591 0.7873 5.275e-22 6.893e+04
   555.9 0.2590 0.7841 5.321e-22 6.953e+04
   559.1 0.2592 0.7808 5.369e-22 7.015e+04
   562.3 0.2594 0.7771 5.419e-22 7.078e+04
   565.6 0.2611 0.7725 5.464e-22 7.120e+04
   568.9 0.2635 0.7671 5.510e-22 7.157e+04
   572.1 0.2657 0.7614 5.564e-22 7.206e+04
   575.4 0.2676 0.7555 5.626e-22 7.266e+04
   578.8 0.2693 0.7494 5.694e-22 7.337e+04
   582.1 0.2661 0.7487 5.822e-22 7.535e+04
   585.5 0.2656 0.7421 5.941e-22 7.695e+04
   588.8 0.2651 0.7354 6.067e-22 7.864e+04
   592.2 0.2633 0.7282 6.227e-22 8.091e+04
   595.7 0.2604 0.7211 6.415e-22 8.367e+04
   599.1 0.2574 0.7142 6.607e-22 8.653e+04
   602.6 0.2543 0.7076 6.803e-22 8.947e+04
   606.0 0.2511 0.7013 7.004e-22 9.251e+04
   609.5 0.2479 0.6952 7.211e-22 9.565e+04
   613.1 0.2445 0.6892 7.423e-22 9.890e+04
   616.6 0.2412 0.6835 7.641e-22 1.023e+05
   620.2 0.2379 0.6780 7.863e-22 1.057e+05
   623.7 0.2341 0.6745 8.056e-22 1.088e+05
   627.3 0.2305 0.6714 8.244e-22 1.119e+05
   631.0 0.2270 0.6685 8.426e-22 1.149e+05
   634.6 0.2236 0.6659 8.603e-22 1.178e+05
   638.3 0.2204 0.6635 8.774e-22 1.206e+05
   641.9 0.2173 0.6614 8.938e-22 1.234e+05
   645.7 0.2144 0.6595 9.095e-22 1.260e+05
   649.4 0.2116 0.6579 9.244e-22 1.285e+05
   653.1 0.2089 0.6564 9.384e-22 1.309e+05
   656.9 0.2066 0.6550 9.510e-22 1.331e+05
   660.7 0.2044 0.6537 9.630e-22 1.351e+05
   664.5 0.2023 0.6525 9.744e-22 1.371e+05
   668.3 0.2005 0.6514 9.841e-22 1.388e+05
   672.2 0.1987 0.6504 9.942e-22 1.405e+05
   676.1 0.1969 0.6495 1.004e-21 1.422e+05
   680.0 0.1951 0.6486 1.013e-21 1.438e+05
   683.9 0.1935 0.6479 1.022e-21 1.453e+05
   687.9 0.1919 0.6473 1.030e-21 1.468e+05
   691.8 0.1904 0.6465 1.037e-21 1.481e+05
   695.8 0.1891 0.6458 1.045e-21 1.494e+05
   699.8 0.1879 0.6452 1.051e-21 1.505e+05
   703.9 0.1869 0.6445 1.056e-21 1.514e+05
   707.9 0.1861 0.6439 1.060e-21 1.522e+05
   712.0 0.1855 0.6434 1.063e-21 1.527e+05
   716.1 0.1852 0.6429 1.064e-21 1.529e+05
   720.3 0.1850 0.6424 1.064e-21 1.530e+05
   724.4 0.1851 0.6420 1.063e-21 1.527e+05
   728.6 0.1855 0.6416 1.059e-21 1.522e+05
   732.8 0.1906 0.6228 1.096e-21 1.565e+05
   737.1 0.1912 0.6241 1.086e-21 1.549e+05
   741.3 0.1919 0.6254 1.075e-21 1.532e+05
   745.6 0.1928 0.6268 1.062e-21 1.513e+05
   749.9 0.1937 0.6283 1.049e-21 1.492e+05
   754.2 0.1948 0.6298 1.036e-21 1.471e+05
   758.6 0.1959 0.6315 1.021e-21 1.448e+05
   763.0 0.1971 0.6333 1.007e-21 1.426e+05
   767.4 0.1982 0.6351 9.924e-22 1.403e+05
   771.8 0.1993 0.6371 9.777e-22 1.381e+05
   776.2 0.2006 0.6388 9.637e-22 1.359e+05
   780.7 0.2024 0.6395 9.513e-22 1.338e+05
   785.2 0.2041 0.6402 9.392e-22 1.318e+05
   789.8 0.2059 0.6409 9.275e-22 1.299e+05
   794.3 0.2076 0.6416 9.160e-22 1.280e+05
   798.9 0.2093 0.6423 9.050e-22 1.262e+05
   803.5 0.2109 0.6430 8.943e-22 1.245e+05
   808.2 0.2125 0.6437 8.839e-22 1.228e+05
   812.8 0.2141 0.6443 8.739e-22 1.211e+05
   817.5 0.2156 0.6450 8.642e-22 1.196e+05
   822.2 0.2170 0.6457 8.548e-22 1.180e+05
   827.0 0.2184 0.6464 8.459e-22 1.166e+05
   831.8 0.2194 0.6470 8.380e-22 1.154e+05
   836.6 0.2204 0.6476 8.305e-22 1.142e+05
   841.4 0.2213 0.6481 8.234e-22 1.131e+05
   846.3 0.2222 0.6486 8.166e-22 1.120e+05
   851.1 0.2229 0.6491 8.102e-22 1.110e+05
   856.1 0.2235 0.6495 8.042e-22 1.101e+05
   861.0 0.2241 0.6500 7.984e-22 1.093e+05
   866.0 0.2246 0.6504 7.929e-22 1.084e+05
   871.0 0.2250 0.6508 7.877e-22 1.077e+05
   876.0 0.2253 0.6511 7.827e-22 1.069e+05
   881.0 0.2255 0.6515 7.780e-22 1.063e+05
   886.1 0.2258 0.6516 7.738e-22 1.056e+05
   891.3 0.2272 0.6496 7.716e-22 1.052e+05
   896.4 0.2287 0.6474 7.699e-22 1.047e+05
   901.6 0.2303 0.6449 7.685e-22 1.043e+05
   906.8 0.2320 0.6421 7.675e-22 1.039e+05
   912.0 0.2338 0.6391 7.665e-22 1.036e+05
   917.3 0.2355 0.6376 7.630e-22 1.029e+05
   922.6 0.2372 0.6363 7.591e-22 1.021e+05
   927.9 0.2389 0.6352 7.547e-22 1.013e+05
   933.3 0.2406 0.6343 7.501e-22 1.005e+05
   938.6 0.2422 0.6335 7.455e-22 9.963e+04
   944.1 0.2438 0.6327 7.408e-22 9.880e+04
